citedTitle	docid	citedWork	citedAuthor	hot	year	source_id
ANEUPLOIDY IN INDUCED AUTOTETRAPLOID POPULATIONS OF FESTUCA-PRATENSIS, LOLIUM-MULTIFLORUM AND LOLIUM-PERENNE .2. THE FREQUENCY OF ANEUPLOIDS AND PERFORMANCE OF SPACED PLANTS IN LOLIUM-MULTIFLORUM AND LOLIUM-PERENNE	28854459	HEREDITAS	KLINGA, K	yes	1986	WOS:000292018300004	
Lolium perenne L.). 	28854708	Turkish Journal of Field Crops	Sagsöz, S.	yes	1998	WOS:000292018300004	
FERTILITY AND MEIOTIC BEHAVIOR IN TETRAPLOID BARLEY	28854325	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	FEDAK, G	yes	1975	WOS:000292018300004	
NONE	417141850	POPULATIONS GENETIC	WRICKE G	no	1972	WOS:000292018300004	
A NOVEL SOURCE OF GENETIC-VARIATION IN RYEGRASSES (LOLIUM-MULTIFLORUM, L-PERENNE)	16798985	HEREDITY	HASSAN, L	yes	1989	WOS:000292018300004	
NONE	28854155	P 17 INT GRASS C FEB	ELGERSMA A	no	1993	WOS:000292018300004	
Seed set and some cytological characters in different generations of autotetraploid perennial rye (Secale montanum Guss)	79233554	NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH	Akguen, Ilknur	yes	2007	WOS:000292018300004	
EFFECTS OF EXTERNAL ENVIRONMENTAL-FACTORS ON CHROMOSOME-PAIRING IN AUTOTETRAPLOID RYE	86990102	CYTOLOGIA	HOSSAIN, MG	yes	1978	WOS:000292018300004	
NONE	417141589	PLANT BREED ABST	GRADSKOVA LA	no	1981	WOS:000292018300004	
SELECTION IN TETRAPLOID RYE .1. EFFECTS OF SELECTION ON RELATIONSHIPS BETWEEN SEED-SET, MEIOTIC REGULARITY AND PLANT VIGOR	30691377	HEREDITAS	HOSSAIN, MG	yes	1975	WOS:000292018300004	
COLCHICINE MUTAGENESIS IS ASSOCIATED WITH SUBSTANTIAL HERITABLE VARIATION IN COTTON	16799008	EUPHYTICA	LUCKETT, DJ	yes	1989	WOS:000292018300004	
PERENNIAL SPRING RYE AS A CROP ALTERNATIVE	26857669	JOURNAL OF AGRONOMY AND CROP SCIENCE-ZEITSCHRIFT FUR ACKER UND PFLANZENBAU	REIMANNPHILIPP, R	yes	1986	WOS:000292018300004	
RELATIONSHIPS BETWEEN MITOTIC CYCLE DURATION S PERIOD DURATION AND AVERAGE RATE OF DNA SYNTHESIS IN ROOT MERISTEM CELLS OF SEVERAL PLANTS	6859396	EXPERIMENTAL CELL RESEARCH	VANTHOF, J	yes	1965	WOS:A1985AFY8000002	
IDENTIFICATION OF RYE CHROMOSOMES IN WHEAT-RYE ADDITION LINES AND TRITICALE BY HETEROCHROMATIN BANDS	26036938	CROP SCIENCE	DARVEY, NL	yes	1975	WOS:A1985AFY8000002	
The relationship between nuclear DNA amount and the duration of the mitotic cycle	9849664	Chromosomes Today	Evans, G.M.	no	1972	WOS:A1985AFY8000002	
ORDERED REPLICATION OF CHROMOSOMAL DNA - REVIEW AND A PROPOSAL FOR ITS CONTROL	155041284	CYTOBIOS	BARLOW, PW	yes	1972	WOS:A1985AFY8000002	
ENDOSPERM ABNORMALITIES IN TRITICUM-SECALE COMBINATIONS .1. X-TRITICOSECALE AND ITS PARENTAL SPECIES	26593848	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE	KALTSIKES, PJ	yes	1975	WOS:A1985AFY8000002	
DNA CONTENT, HETEROCHROMATIN, MITOTIC INDEX, AND GROWTH IN PERENNIAL AND ANNUAL ANTHEMIDEA (ASTERACEAE)	3820895	PLANT SYSTEMATICS AND EVOLUTION	NAGL, W	yes	1974	WOS:A1985AFY8000002	
NONE	288250018	The wheat plant	Percival, J.	no	1921	WOS:A1985AFY8000002	
A RELATIONSHIP BETWEEN DNA CONTENT, NUCLEAR VOLUME, AND MINIMUM MITOTIC CYCLE TIME	2115179	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	VANTHOF, J	yes	1963	WOS:A1985AFY8000002	
NUCLEAR VOLUME CONTROL BY NUCLEOSKELETAL DNA, SELECTION FOR CELL-VOLUME AND CELL-GROWTH RATE, AND SOLUTION OF DNA C-VALUE PARADOX	2450396	JOURNAL OF CELL SCIENCE	CAVALIERSMITH, T	yes	1978	WOS:A1985AFY8000002	
ROLE OF HETEROCHROMATIN IN CONTROL OF CELL-CYCLE DURATION	3820932	NATURE	NAGL, W	yes	1974	WOS:A1985AFY8000002	
The time factor in pollen-tube growth and fertilization in barley	97116089	JOURNAL OF AGRICULTURAL RESEARCH	Pope, MN	yes	1937	WOS:A1985AFY8000002	
PLEIOTROPIC EFFECTS ASSOCIATED WITH THE DELETION OF HETEROCHROMATIN SURROUNDING RDNA ON THE X-CHROMOSOME OF DROSOPHILA	12909497	CHROMOSOMA	HILLIKER, AJ	yes	1982	WOS:A1985AFY8000002	
MEIOTIC DURATION IN WHEAT GENOTYPES WITH OR WITHOUT HOMOEOLOGOUS MEIOTIC CHROMOSOME-PAIRING	10678522	PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES	BENNETT, MD	yes	1974	WOS:A1985AFY8000002	
REITERATED-SEQUENCE DNA CONTENT OF HIGHER-PLANTS	32996585	HEREDITY	FLAVELL, R	yes	1973	WOS:A1985AFY8000002	
SOMATIC DELETION AND REDISTRIBUTION OF TELOMERIC HETEROCHROMATIN IN THE GENUS SECALE AND IN TRITICALE	9849941	CHROMOSOMA	GUSTAFSON, JP	yes	1983	WOS:A1985AFY8000002	
NONE	214360056	AM J BOT	EVANS AD	no	1970	WOS:A1985AFY8000002	
ULTRASTRUCTURE OF DEVELOPING WHEAT ENDOSPERM	9658226	AUSTRALIAN JOURNAL OF BIOLOGICAL SCIENCES	BUTTROSE, MS	yes	1963	WOS:A1985AFY8000002	
NONE	214360121	BROOKHAVEN S BIOL	SPARROW AH	no	1972	WOS:A1985AFY8000002	
THE MAPPING OF HIGHLY-REPEATED DNA FAMILIES AND THEIR RELATIONSHIP TO C-BANDS IN CHROMOSOMES OF SECALE-CEREALE	4464680	CHROMOSOMA	JONES, JDG	yes	1982	WOS:A1985AFY8000002	
MOLECULAR DESCRIPTION OF TELOMERIC HETEROCHROMATIN IN SECALE SPECIES	2609770	CELL	BEDBROOK, JR	yes	1980	WOS:A1985AFY8000002	
ORIGIN OF CULTIVATED RYE	34764775	AMERICAN JOURNAL OF BOTANY	STUTZ, HC	yes	1972	WOS:A1985AFY8000002	
EVIDENCE FOR A CONSTANCY OF DNA SYNTHETIC PERIOD BETWEEN DIPLOID-POLYPLOID GROUPS IN PLANTS	105514771	EXPERIMENTAL CELL RESEARCH	TROY, MR	yes	1968	WOS:A1985AFY8000002	
THE STRUCTURE, AMOUNT AND CHROMOSOMAL LOCALIZATION OF DEFINED REPEATED DNA-SEQUENCES IN SPECIES OF THE GENUS SECALE	4464703	CHROMOSOMA	JONES, JDG	yes	1982	WOS:A1985AFY8000002	
NUCLEAR DNA CONTENT AND MINIMUM GENERATION TIME IN HERBACEOUS PLANTS	2114551	PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES	BENNETT, MD	yes	1972	WOS:A1985AFY8000002	
TRANSLOCATIONS AND MODIFICATIONS OF CHROMOSOMES IN TRITICALE X WHEAT HYBRIDS	461759	THEORETICAL AND APPLIED GENETICS	LUKASZEWSKI, AJ	yes	1983	WOS:A1985AFY8000002	
A COMPARATIVE-STUDY OF EARLY SEED DEVELOPMENT IN GENOTYPES OF BARLEY AND RYE	94992986	ANNALS OF BOTANY	FORSTER, BP	yes	1983	WOS:A1985AFY8000002	
MITOTIC-CYCLE IN AN AMPHIPLOID (TRITICALE) AND ITS PARENTAL SPECIES	30981681	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	KALTSIKE.PJ	yes	1971	WOS:A1985AFY8000002	
THE EFFECT OF TELOMERIC HETEROCHROMATIN FROM SECALE-CEREALE ON TRITICALE (X-TRITICOSECALE) .1. THE INFLUENCE OF THE LOSS OF SEVERAL BLOCKS OF TELOMERIC HETEROCHROMATIN ON EARLY ENDOSPERM DEVELOPMENT AND KERNEL CHARACTERISTICS AT MATURITY	34635660	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	GUSTAFSON, JP	yes	1982	WOS:A1985AFY8000002	
THE EFFECT OF TELOMERIC HETEROCHROMATIN FROM SECALE-CEREALE ON TRITICALE (X-TRITICOSECALE) .2. THE PRESENCE OR ABSENCE OF BLOCKS OF HETEROCHROMATIN IN ISOGENIC BACKGROUNDS	98200559	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	BENNETT, MD	yes	1982	WOS:A1985AFY8000002	
CONSTANCY OF DURATION OF DNA SYNTHESIS AND PER CENT G+C IN WHITE SPRUCE FROM SEVERAL PROVENANCES	205450624	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	MIKSCHE, JP	yes	1971	WOS:A1985AFY8000002	
SEED DEVELOPMENT AFTER RECIPROCAL CROSSES BETWEEN DIPLOID AND TETRAPLOID RYE	20692048	HEREDITAS	HAKANSSON, A	yes	1950	WOS:A1985AFY8000002	
STUDIES ON RELATIONSHIPS BETWEEN CELL POPULATION AND GROWTH KINETICS OF ROOT MERISTEMS	22527657	EXPERIMENTAL CELL RESEARCH	VANTHOF, J	yes	1967	WOS:A1985AFY8000002	
EARLY SEED DEVELOPMENT IN TRITICEAE	13904071	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES	BENNETT, MD	yes	1975	WOS:A1985AFY8000002	
EFFECTS OF POLYPLOIDY ON MEIOTIC DURATION AND POLLEN DEVELOPMENT IN CEREAL ANTHERS	2490394	PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES	BENNETT, MD	yes	1972	WOS:A1985AFY8000002	
EARLY SEED DEVELOPMENT IN HEXAPLOID TRITICALE	30154810	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE	KALTSIKE.PJ	yes	1973	WOS:A1985AFY8000002	
SEED DEVELOPMENT FOLLOWING THE MATING ELYMUS-VIRGINICUS LXAGROPYRON REPENS (L) BEAUV	59264963	GENETICS	BEAUDRY, JR	yes	1951	WOS:A1985AFY8000002	
DURATION OF MEIOSIS	8862948	PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES	BENNETT, MD	yes	1971	WOS:A1985AFY8000002	
HOW SELFISH IS DNA - IGNORANT DNA	27247457	NATURE	DOVER, G	yes	1980	WOS:A1985AFY8000002	
MITOTIC-CYCLE TIME IN PERENNIAL AND ANNUAL PLANTS WITH VARIOUS AMOUNTS OF DNA AND HETEROCHROMATIN	3820949	DEVELOPMENTAL BIOLOGY	NAGL, W	yes	1974	WOS:A1985AFY8000002	
Mitotic cycles in root meristems	24361366	The cell cycle in development and differentiation	Barlow, P.	no	1973	WOS:A1985AFY8000002	
DNA sequence organization and repeat sequences.	107910684	Chromosomes Today	Britten, R.	yes	1981	WOS:A1985AFY8000002	
SELFISH GENES, THE PHENOTYPE PARADIGM AND GENOME EVOLUTION	2610159	NATURE	DOOLITTLE, WF	yes	1980	WOS:A1985AFY8000002	
NONE	38574738	CHROMOSOMES TODAY	REES H	no	1969	WOS:A1985AFY8000002	
EVOLUTION OF DNA CONTENT IN HIGHER-PLANTS	6858663	BOTANICAL REVIEW	PRICE, HJ	yes	1976	WOS:A1985AFY8000002	
NONE	96586480	CELL CYCLE DEV DIFFE	BENNETT MD	no	1973	WOS:A1985AFY8000002	
NONE	115169963	CYTOGENETICS CROP PL	GUSTAFSON JP	no	1982	WOS:A1985AFY8000002	
SO MUCH JUNK DNA IN OUR GENOME	13333402	Brookhaven Symposia in Biology	OHNO S	yes	1972	WOS:A1985AFY8000002	
VARIATION IN NUCLEAR-DNA IN GENUS SECALE	4544869	CHROMOSOMA	BENNETT, MD	yes	1977	WOS:A1985AFY8000002	
THE MOLECULAR CYTOLOGY OF WHEAT-RYE HYBRIDS	97105595	INTERNATIONAL REVIEW OF CYTOLOGY-A SURVEY OF CELL BIOLOGY	APPELS, R	yes	1982	WOS:A1985AFY8000002	
The antipodals in relation to abnormal endosperm behavior in Hordeum jubatum SecaleXcereale hybrid seeds	90187939	GENETICS	Brink, RA	yes	1944	WOS:A1985AFY8000002	
COMPARISON OF C-BANDING PATTERN IN THE CHROMOSOMES OF INBRED LINES AND OPEN POLLINATED VARIETIES OF RYE	5223807	ZEITSCHRIFT FUR PFLANZENZUCHTUNG-JOURNAL OF PLANT BREEDING	GIRALDEZ, R	yes	1979	WOS:A1985AFY8000002	
HOW SELFISH IS DNA	22632226	NATURE	CAVALIERSMITH, T	yes	1980	WOS:A1985AFY8000002	
CELL DEVELOPMENT IN ANTHER, OVULE, AND YOUNG SEED OF TRITICUM-AESTIVUM L VAR CHINESE SPRING	4415471	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES	BENNETT, MD	yes	1973	WOS:A1985AFY8000002	
HETEROCHROMATIN CONTENT AND EARLY ENDOSPERM DEVELOPMENT IN 42-CHROMOSOME SPRING TRITICALE	90288143	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	GUSTAFSON, JP	yes	1984	WOS:A1985AFY8000002	
SELFISH DNA - THE ULTIMATE PARASITE	437065	NATURE	ORGEL, LE	yes	1980	WOS:A1985AFY8000002	
DIFFERENTIAL PROTEIN ACCUMULATION DURING BARLEY-GRAIN DEVELOPMENT	21102438	JOURNAL OF EXPERIMENTAL BOTANY	RAHMAN, S	yes	1982	WOS:A1986A433800010	
GENETIC CONTROL OF RYE ENDOSPERM PROTEINS	3116394	EXPERIENTIA	SHEPHERD, KW	yes	1971	WOS:A1986A433800010	
CHROMOSOMAL LOCATION OF GENES-CONTROLLING SEED PROTEINS IN SPECIES RELATED TO WHEAT	2905995	THEORETICAL AND APPLIED GENETICS	LAWRENCE, GJ	yes	1981	WOS:A1986A433800010	
AGGREGATION STATES OF ALCOHOL-SOLUBLE STORAGE PROTEINS OF BARLEY, RYE, WHEAT AND MAIZE	8365192	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	FIELD, JM	yes	1983	WOS:A1986A433800010	
IDENTIFICATION OF THE CHROMOSOMES OF THE RYE TRANSLOCATION TESTER SET	54122827	THEORETICAL AND APPLIED GENETICS	SYBENGA, J	yes	1985	WOS:A1986A433800010	
GENES FOR THE STORAGE PROTEINS OF BARLEY	14242365	QUALITAS PLANTARUM-PLANT FOODS FOR HUMAN NUTRITION	SHEWRY, PR	yes	1982	WOS:A1986A433800010	
THE STRUCTURAL AND EVOLUTIONARY RELATIONSHIPS OF THE PROLAMIN STORAGE PROTEINS OF BARLEY, RYE AND WHEAT	32239628	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES	SHEWRY, PR	yes	1984	WOS:A1986A433800010	
The production and phenotypes of wheat-rye chromosome addition lines.	15667327	Heredity	RILEY, R.	yes	1958	WOS:A1986A433800010	
EXTRACTION, SEPARATION, AND POLYMORPHISM OF THE PROLAMIN STORAGE PROTEINS (SECALINS) OF RYE	8365653	CEREAL CHEMISTRY	SHEWRY, PR	yes	1983	WOS:A1986A433800010	
NONE	388283100	1985 P EUC M SVAL	SHEWRY PR	no	1985	WOS:A1986A433800010	
CONTROL BY HOMOEOLOGOUS GROUP-1 CHROMOSOMES OF THE HIGH-MOLECULAR-WEIGHT SUBUNITS OF GLUTENIN, A MAJOR PROTEIN OF WHEAT ENDOSPERM	4622437	THEORETICAL AND APPLIED GENETICS	PAYNE, PI	yes	1980	WOS:A1986A433800010	
THE CHROMOSOMAL LOCATIONS AND LINKAGE RELATIONSHIPS OF THE STRUCTURAL GENES FOR THE PROLAMIN STORAGE PROTEINS (SECALINS) OF RYE	26650294	THEORETICAL AND APPLIED GENETICS	SHEWRY, PR	yes	1984	WOS:A1986A433800010	
COMPARISON OF METHODS FOR EXTRACTION AND SEPARATION OF HORDEIN FRACTIONS FROM 29 BARLEY VARIETIES	462164	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	SHEWRY, PR	yes	1978	WOS:A1986A433800010	
THE PURIFICATION AND CHARACTERIZATION OF HOMOLOGOUS HIGH MOLECULAR-WEIGHT STORAGE PROTEINS FROM GRAIN OF WHEAT, RYE AND BARLEY	9252996	THEORETICAL AND APPLIED GENETICS	FIELD, JM	yes	1982	WOS:A1986A433800010	
N-TERMINAL AMINO-ACID-SEQUENCES OF OMEGA-GLIADINS AND OMEGA-SECALINS - IMPLICATIONS FOR THE EVOLUTION OF PROLAMIN GENES	2816972	BIOCHIMICA ET BIOPHYSICA ACTA	KASARDA, DD	yes	1983	WOS:A1986A433800010	
NONE	181933865	ANN REP PLANT BREED	MILLER TE	no	1973	WOS:A1986A433800010	
WHEAT STORAGE PROTEINS - THEIR GENETICS AND THEIR POTENTIAL FOR MANIPULATION BY PLANT-BREEDING	3719885	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES	PAYNE, PI	yes	1984	WOS:A1986A433800010	
NONE	97208654	3RD P INT WHEAT GEN	SHEPHERD KW	no	1968	WOS:A1986A433800010	
ONE-DIMENSIONAL AND TWO-DIMENSIONAL (2-PH) POLYACRYLAMIDE-GEL ELECTROPHORESIS IN A SINGLE GEL - SEPARATION OF WHEAT PROTEINS	3988582	CEREAL CHEMISTRY	LAFIANDRA, D	yes	1985	WOS:A1986A433800010	
Structure and evolution of seed storage proteins and their genes with particular reference to those of wheat, barley and rye.	2577766	Oxford Surveys of Plant Molecular and Cell Biology	Kreis, M.	yes	1985	WOS:A1986A433800010	
NONE	94743363	4TH P INT WHEAT GEN	SHEPHERD KW	no	1973	WOS:A1986A433800010	
IDENTIFICATION OF 3 CHROMOSOMES INVOLVED IN TRANSLOCATIONS WHICH STRUCTURALLY DIFFERENTIATE GENOME OF SECALE-CEREALE L FROM THOSE OF SECALE-MONTANUM GUSS AND SECALE-VAVILOVII GROSSH	104082538	GENETICA	VANHEEME.C	yes	1972	WOS:A1986A433800010	
USE OF BIOCHEMICALS MARKS TO IDENTIFY RYE CHROMOSOMES	16332826	ANNALES DE L AMELIORATION DES PLANTES	BERNARD, M	yes	1977	WOS:A1986A433800010	
NONE	291710416	AGR ABSTR	DRISCOLL CJ	no	1971	WOS:A1986A433800010	
CHROMOSOMAL LOCATION OF THE STRUCTURAL GENES FOR THE MR-75,000 GAMMA-SECALINS IN SECALE-MONTANUM GUSS - EVIDENCE FOR A TRANSLOCATION INVOLVING CHROMOSOME-2R AND CHROMOSOME-6R IN CULTIVATED RYE (SECALE-CEREALE L)	97562949	HEREDITY	SHEWRY, PR	yes	1985	WOS:A1986A433800010	
MAPPING OF THE GENES-CONTROLLING HIGH-MOLECULAR-WEIGHT GLUTELIN SUBUNITS OF RYE ON THE LONG ARM OF CHROMOSOME-1R	16090945	GENETICAL RESEARCH	SINGH, NK	yes	1984	WOS:A1986A433800010	
NONE	106630310	J EXP BOT	SHEWRY PR	no	1982	WOS:A1986A433800010	
Grassland management and conversion into grassland: Effects on soil carbon	22676239	ECOLOGICAL APPLICATIONS	Conant, RT	yes	2001	WOS:000223882000020	
Weed management at the time of perennial cereal rye establishment	30786812	CANADIAN JOURNAL OF PLANT SCIENCE	Moyer, JR	yes	2002	WOS:000223882000020	
Management effects on soil C storage on the Canadian prairies	356303	SOIL & TILLAGE RESEARCH	Janzen, HH	yes	1998	WOS:000223882000020	
NONE	387499302	P NAT BEEF SCI SEM L	ACHARYA SN	no	1997	WOS:000223882000020	
Breeding perennial rye	26857683	Plant Breeding Reviews	Reimann-Philipp, R	no	1995	WOS:000223882000020	
BREEDING A PERENNIAL FORM OF RYE AS A POSSIBILITY OF IMPROVING TECHNIQUE OF RYE BREEDING AND OF CREATING A MULTIPLE-PURPOSE RYE FOR USE AS GREEN FODDER AND GRAIN	22347004	ZEITSCHRIFT FUR PFLANZENZUCHTUNG	DIERKS, W	yes	1966	WOS:000223882000020	
S. montanum Guss. hybrids. 	21703490	Magyar Tudomanyos Akademia Agrartudomanyok Osztalyanak Kozlemenyei	KOTVICS, G.	yes	1962	WOS:000180372100002	
BEHAVIOUR OF ACCESSORY CHROMOSOMES OF SECALE CEREALE IN A SECALE CEREALE BY MONTANUM HYBRID	35400148	CANADIAN JOURNAL OF GENETICS AND CYTOLOGY	MOORE, RJ	yes	1961	WOS:000180372100002	
NONE	35400186	CROP SCI	PFALER LP	no	1968	WOS:000180372100002	
NONE	35400068	EUCARPIA C AB WAL	EVANS GU	no	1982	WOS:000180372100002	
Perennial rye: A new forage crop for the world, registered in Hungary	35400116	Hungarian Agricultural Research	Kotvics, G	no	2001	WOS:000180372100002	
Secale montanum Guss.). 	28853919	Turkish Journal of Field Crops	Akgün, I.	yes	1999	WOS:000180372100002	
Alternative grass options for dry east coast and downland pastoral systems.	35400249	Proceedings Annual Conference - Agronomy Society of New Zealand	Woodman, R. F.	yes	1991	WOS:000180372100002	
NONE	35400226	CROP SCI	PFALER LP	no	1968	WOS:000180372100002	
Comparison of secale with other perennial grasses under grazing at a cool site in the high rainfall zone of New South Wales	26856762	AUSTRALIAN JOURNAL OF EXPERIMENTAL AGRICULTURE	Freer, M	yes	1997	WOS:000180372100002	
NONE	357008813	BIOMETRIAI MODSZEREK	SVAB J	no	1972	WOS:000180372100002	
NONE	356985730	OMMI B	LAZAR	no	1998	WOS:000180372100002	
NONE	357008754	MEZOGAZDASAGI KIADO	BELEA A	no	1986	WOS:000180372100002	
BREEDING A PERENNIAL FORM OF RYE AS A POSSIBILITY OF IMPROVING TECHNIQUE OF RYE BREEDING AND OF CREATING A MULTIPLE-PURPOSE RYE FOR USE AS GREEN FODDER AND GRAIN	22347004	ZEITSCHRIFT FUR PFLANZENZUCHTUNG	DIERKS, W	yes	1966	WOS:000180372100002	
TAN SPOT OF WINTER-WHEAT - PROCEDURES TO DETERMINE HOST RESPONSE	3490849	PHYTOPATHOLOGY	RAYMOND, PJ	yes	1985	WOS:000232857600016	
NONE	59159919	CRC HDB PEST MANAGEM	PIMENTEL D	no	1991	WOS:000232857600016	
Susceptibility and resistance to the wheat streak-mosaic virus in the genera Triticum, Agropyron, Secale, and certain hybrids	11966679	PLANT DIS REPORTER	McKINNEY, H. H.	yes	1951	WOS:000232857600016	
Subsurface drain losses of water and nitrate following conversion of perennials to row crops	621013	AGRONOMY JOURNAL	Huggins, DR	yes	2001	WOS:000232857600016	
USE OF ALIEN GENES FOR THE DEVELOPMENT OF DISEASE RESISTANCE IN WHEAT	13236698	ANNUAL REVIEW OF PHYTOPATHOLOGY	JONES, SS	yes	1995	WOS:000232857600016	
Transfer of wheat streak mosaic virus resistance from Agropyron intermedium into wheat	9482660	CROP SCIENCE	Friebe, B	yes	1996	WOS:000232857600016	
Characterization of wheat-alien translocations conferring resistance to diseases and pests: Current status	2609989	EUPHYTICA	Friebe, B	yes	1996	WOS:000232857600016	
Perennial wheat: the development of a sustainable cropping system for the U.S. Pacific Northwest.	55146073	American Journal of Alternative Agriculture	Scheinost, P. L.	yes	2001	WOS:000232857600016	
Reaction of winter wheat varieties and Triticum X Agropyron hybrids when inoculated with streak mosaic virus by the mite vector Aceria tulipae Keifer	32162349	PLANT DIS REPORTER	ANDREWS, J. E.	yes	1956	WOS:000232857600016	
Barley yellow dwarf disease in natural populations of dominant tallgrass prairie species in Kansas	46254690	PLANT DISEASE	Garrett, KA	yes	2004	WOS:000232857600016	
NONE	59159990	CAN J BOT	SLYKHUIS JT	no	1965	WOS:000232857600016	
EVALUATION OF POPULATIONS OF FLUORESCENT PSEUDOMONADS RELATED TO DECLINE OF TAKE-ALL PATCH ON TURFGRASS	13236013	PLANT AND SOIL	SARNIGUET, A	yes	1992	WOS:000232857600016	
Nitrogen management strategies to reduce nitrate leaching in tile-drained midwestern soils	116386	AGRONOMY JOURNAL	Dinnes, DL	yes	2002	WOS:000232857600016	
NONE	22030326	MANAGEMENT CARBON SE	HUGGINS DR	no	1997	WOS:000232857600016	
Perennial wheat germ plasm lines resistant to eyespot, cephalosporium stripe, and wheat streak mosaic	32162296	PLANT DISEASE	Cox, CM	yes	2002	WOS:000232857600016	
Nitrate losses through subsurface tile drainage in Conservation Reserve Program, alfalfa, and row crop systems	622422	JOURNAL OF ENVIRONMENTAL QUALITY	Randall, GW	yes	1997	WOS:000232857600016	
Genome characterization of MT-2 perennial and OK-906 annual wheat x intermediate wheatgrass hybrids	16437869	CROP SCIENCE	Jones, TA	yes	1999	WOS:000232857600016	
Meeting the challenge of disease management in perennial grain cropping systems	56379812	RENEWABLE AGRICULTURE AND FOOD SYSTEMS	Cox, CM	yes	2005	WOS:000232857600016	
ELYMUS-SP AS SOURCES OF RESISTANCE TO BARLEY YELLOW DWARF VIRUS	59159821	Phytopathology	EDWARDS M C	yes	1988	WOS:000232857600016	
Standardization of toxin nomenclature in the Pyrenophora tritici-repentis/wheat interaction	3698552	CANADIAN JOURNAL OF PLANT PATHOLOGY-REVUE CANADIENNE DE PHYTOPATHOLOGIE	Ciuffetti, LM	yes	1998	WOS:000232857600016	
THE CRP INCREASES SOIL ORGANIC-CARBON	3846572	JOURNAL OF SOIL AND WATER CONSERVATION	GEBHART, DL	yes	1994	WOS:000232857600016	
Genetic diversity and disease control in rice	7049359	NATURE	Zhu, YY	yes	2000	WOS:000232857600016	
NONE	293683150	Biology and control of take-all	Asher, MJC	no	1981	WOS:000232857600016	
NONE	320533668	NEB AGR EXP STN RES	STAPLES R	no	1956	WOS:000232857600016	
The nature and mechanism of suppression	21632733	Biology and control of take-all	Rovira, AD	no	1981	WOS:000232857600016	
Biological diversity in soils of agricultural and natural ecosystems	28384384	NONE	Neher, D. A.	yes	1995	WOS:000232857600016	
TEMPERATURE SENSITIVITY AND EFFICACY OF WHEAT STREAK MOSAIC-VIRUS RESISTANCE DERIVED FROM AGROPYRON INTERMEDIUM	13609020	PLANT DISEASE	SEIFERS, DL	yes	1995	WOS:000232857600016	
